id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
2C0sdXFRzSeVERbPYwRocB,0.861,0.45,9,-11.951,1,0.0649,0.806,0,0.111,0.631,119.999
2yQSlIvIfRD8pVcNbDhXNw,0.595,0.728,5,-4.919,0,0.0851,0.123,1.14e-06,0.104,0.427,166.098
3xCHPowgMf0ZgXPxXHhUFX,0.745,0.845,11,-4.475,1,0.047,6.05e-05,0.634,0.121,0.86,105.027
08Lw339w7ziPVRVq6B57fo,0.686,0.846,11,-3.997,1,0.0384,0.00182,7.6e-05,0.102,0.841,105.001
4X5SAZ4JKejo2tPhvCJhZf,0.787,0.655,2,-6.252,1,0.0335,0.557,0,0.0867,0.674,95.006
0O7O4sssbFxoNoB4QRGra1,0.565,0.563,10,-6.742,1,0.0496,0.741,0,0.226,0.319,147.905
2xGXEZ24o20aSfMTKcATht,0.517,0.482,2,-10.88,1,0.186,0.755,0.000453,0.541,0.752,84.915
6LAHkI7op52Y4NoK2PGMlH,0.704,0.576,8,-4.962,1,0.0967,0.654,0,0.0865,0.921,206.072
4PJQ5FaGDVmXw6SmZK8Nxl,0.545,0.483,6,-7.803,1,0.041,0.109,0,0.133,0.382,129.88
4T2Hwqz2jrZcjiipwCpKXT,0.497,0.403,4,-9.381,0,0.041,0.477,0,0.216,0.174,132.031
5T0DfTfA8LzEAgoERBpuSX,0.578,0.389,7,-8.971,1,0.0313,0.34,0,0.161,0.144,131.961
74nVCj4vMVemLIs71vXcnP,0.712,0.537,11,-8.964,1,0.0378,0.533,0,0.334,0.218,90.033
1cOwOT7IkFLCiTHeQ9aAqs,0.77,0.453,3,-8.131,1,0.037,0.768,0,0.155,0.478,118.006
4IJGV6gw3x5oUiqsvYop5t,0.692,0.69,4,-4.595,1,0.0271,0.588,0,0.176,0.611,104.956
5rXBmcYNJYMYdhwxlMLh0s,0.549,0.521,6,-6.119,1,0.0374,0.472,1.96e-06,0.0978,0.771,202.017
4FrizRiAVRXdcsJNlQGB9x,0.763,0.728,7,-4.154,1,0.0382,0.341,0,0.214,0.835,126.009
6Ddn4Vw4CBKLoXLfFukPqT,0.406,0.513,9,-6.44,1,0.03,0.675,0,0.0781,0.268,139.686
0zwFpl2vjU9c1wj08OR5CD,0.634,0.708,9,-5.757,1,0.0309,0.266,0,0.1,0.509,97.495
3Zfyw5o5gGBoyDdjxCZfon,0.533,0.365,2,-7.717,1,0.041,0.573,0,0.111,0.309,131.769
6DFqEI93UwMDbC2dTtCe56,0.593,0.448,11,-7.74,1,0.0338,0.732,0,0.212,0.385,135.966
6qUvy8Ci8h1fY4aI1SjT3r,0.642,0.44,0,-9.705,1,0.0613,0.25,1.89e-06,0.105,0.344,121.975
6sAQb6zaDD3oHgpdrVtGP8,0.489,0.64,4,-5.876,1,0.036,0.745,0,0.0981,0.336,139.75
1Of1jcGbCroKpUk7RGJaPA,0.662,0.138,5,-16.541,1,0.0461,0.912,0,0.111,0.321,80.814
5qMf0McTDyNfkbiFd1rOpS,0.542,0.309,6,-11.027,1,0.0363,0.601,1.32e-06,0.118,0.352,126.06
3OWTiOvc1numNmjqpKfq3V,0.658,0.338,10,-9.179,0,0.0525,0.945,6.46e-05,0.11,0.11,115.129
5xcGRzMtxAgfiPAGXp2xuv,0.784,0.607,4,-7.934,1,0.0494,0.532,0,0.107,0.751,137.951
221FBKC22DTc7XkPIaZYOl,0.777,0.35,3,-10.179,1,0.0333,0.526,0,0.13,0.516,108.024
3jnhJ37cVGK92lbyQhYhgx,0.557,0.341,9,-12.44,0,0.0296,0.426,0,0.0977,0.325,111.947
2EUpsvRBT3t1aJ772zQH6p,0.693,0.474,2,-7.363,1,0.0283,0.502,2.87e-05,0.0882,0.259,122.031
7bC2uZJZichlPr83rAJlKv,0.628,0.49,0,-6.784,1,0.0252,0.627,0,0.113,0.653,95.977
2Z3XVVRho0JWSPiMOy8gYy,0.556,0.344,9,-8.982,0,0.038,0.784,1.47e-06,0.113,0.281,159.782
1FnEx4pT6fl9lzrvBULCB2,0.696,0.586,4,-6.801,1,0.0353,0.68,0,0.102,0.421,104.984
2MwjcKcekaSQyecQVkmGEw,0.531,0.566,5,-6.427,1,0.0273,0.226,0,0.112,0.182,79.066
70CudhEdB3miT1xxs5PuuZ,0.496,0.472,3,-5.092,1,0.0272,0.821,0,0.112,0.285,169.822
774DVnNCQJok4U26espAhx,0.562,0.551,3,-4.331,1,0.0285,0.688,0,0.0668,0.232,169.657
0G24cauyLcnvW7YJvJQg21,0.724,0.497,6,-7.698,1,0.0289,0.255,0,0.0981,0.56,124.955
5mxKF6c6abcWWhtScMqw84,0.352,0.489,7,-7.495,1,0.0343,0.265,0,0.122,0.154,128.757
2ZSB7IqV9ApkaKFApdRq93,0.659,0.371,5,-6.716,1,0.0266,0.821,0,0.0822,0.558,81.052
67UmmvDAlOdU36yP3TmSdE,0.638,0.491,0,-13.072,1,0.0547,0.672,0,0.149,0.389,133.967
5k43r7bra5BDrE673PkrHA,0.744,0.274,0,-9.929,1,0.0343,0.739,2.84e-05,0.19,0.373,116.951
0L7rQrY1zzUYUzJAkUuZ0B,0.734,0.661,0,-7.869,1,0.03,0.0603,2.93e-06,0.0886,0.36,117.98
0pF0FqBW0nOn0KFE26CTHp,0.433,0.344,1,-11.42,1,0.0356,0.735,2.89e-06,0.1,0.293,139.891
0cyMB6gVaEsfcVOEXHc2AQ,0.299,0.444,9,-8.862,1,0.0382,0.467,0,0.102,0.3,82.939
6LZrupqVF7cFerECUJjJLx,0.248,0.398,1,-7.465,0,0.0352,0.874,0,0.111,0.256,174.527
3zOwzIIyKYZPdRmi0MIapT,0.498,0.454,8,-8.072,0,0.0396,0.71,0,0.111,0.228,135.211
7IhsLJMqdxoo7YAZjaSMru,0.713,0.746,0,-4.99,1,0.259,0.0402,0,0.601,0.47,135.021
0TCmhnbMpw5zwPsTvlXTJi,0.521,0.277,11,-10.34,1,0.0356,0.634,7.07e-05,0.103,0.13,115.01
72BgLwPFFHlPmqVsJwVl0R,0.75,0.524,5,-6.999,1,0.0311,0.546,1.35e-06,0.0935,0.392,125.022
7BY005dacJkbO6EPiOh2wb,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2
6SCh4BKjB0il6zKgtSiasQ,0.618,0.837,6,-6.142,0,0.0515,0.032,0,0.0475,0.434,126.082
7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178
3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372
75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277
1503Da6qbgNifRnRwIjtZe,0.504,0.698,7,-6.958,1,0.0273,0.0248,0.00089,0.109,0.421,98.021
7Jh1bpe76CNTCgdgAdBw4Z,0.49,0.758,7,-6.491,1,0.0297,0.000671,0.484,0.092,0.435,112.114
6Qn5zhYkTa37e91HC1D7lb,0.672,0.655,10,-5.021,0,0.0311,0.0362,0,0.117,0.556,134.945
2FY7b99s15jUprqC0M5NCT,0.704,0.611,2,-6.112,1,0.0409,0.217,0,0.0812,0.22,100.0
2RSHsoi04658QL5xgQVov3,0.383,0.637,3,-6.993,1,0.0703,0.0722,0,0.368,0.0827,177.913
0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949
57Wjcff1bw8TueYvFip4NN,0.613,0.765,1,-3.909,1,0.0984,0.0195,0,0.039,0.534,88.262
7iOnpXYaRpRYUAHKVDnqgp,0.274,0.367,9,-7.406,1,0.0411,0.733,0,0.111,0.3,187.96
416MsJxvxSKY96DCmbJIRs,0.213,0.0743,9,-18.071,0,0.0408,0.344,3.45e-05,0.212,0.145,53.863
3OWTiOvc1numNmjqpKfq3V,0.658,0.338,10,-9.179,0,0.0525,0.945,6.46e-05,0.11,0.11,115.129
2IMIbiJlbi0pIs3FBpKFhS,0.493,0.59,0,-5.814,0,0.0392,0.339,0,0.121,0.502,169.908
2qKZnheMe0HhqYC1XJcdaA,0.471,0.548,3,-4.301,1,0.0369,0.742,0,0.0896,0.177,147.961
0V5x32QjQhtLUG3U5fMIap,0.498,0.373,7,-7.058,0,0.0358,0.854,0,0.106,0.404,72.414
3RiPr603aXAoi4GHyXx0uy,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027
2jQiSYrwJehQAcuaaQrXnS,0.422,0.609,11,-6.361,0,0.0335,0.0114,4.76e-06,0.108,0.0911,107.34
