song,artists
All Too Well (Taylor's Version),Taylor Swift
Easy On Me,Adele
Stay,The Kid LAROI & Justin Bieber
Industry Baby,Lil Nas X & Jack Harlow
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
Bad Habits,Ed Sheeran
Shivers,Ed Sheeran
Heat Waves,Glass Animals
Need To Know,Doja Cat
Fancy Like,Walker Hayes
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Way 2 Sexy,Drake Featuring Future & Young Thug
Good 4 U,Olivia Rodrigo
You Right,Doja Cat & The Weeknd
Essence,Wizkid Featuring Justin Bieber & Tems
Beggin',Maneskin
Levitating,Dua Lipa
State Of Grace (Taylor's Version),Taylor Swift
One Right Now,Post Malone & The Weeknd
Already Dead,Juice WRLD
Kiss Me More,Doja Cat Featuring SZA
I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Chris Stapleton
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
If I Didn't Love You,Jason Aldean & Carrie Underwood
Red (Taylor's Version),Taylor Swift
Save Your Tears,The Weeknd & Ariana Grande
Knife Talk,Drake Featuring 21 Savage & Project Pat
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
Better Days,NEIKED X Mae Muller X Polo G
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Girls Want Girls,Drake Featuring Lil Baby
Cold As You,Luke Combs
Ghost,Justin Bieber
Love Nwantiti (Ah Ah Ah),CKay
Chasing After You,Ryan Hurd With Maren Morris
All I Want For Christmas Is You,Mariah Carey
My Universe,Coldplay x BTS
Buy Dirt,Jordan Davis Featuring Luke Bryan
Thats What I Want,Lil Nas X
Happier Than Ever,Billie Eilish
Pepas,Farruko
You Should Probably Leave,Chris Stapleton
Nothing New (Taylor's Version) (From The Vault),Taylor Swift Featuring Phoebe Bridgers
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
I Knew You Were Trouble (Taylor's Version),Taylor Swift
Run (Taylor's Version) (From The Vault),Taylor Swift Featuring Ed Sheeran
Montero (Call Me By Your Name),Lil Nas X
Bad Man (Smooth Criminal),Polo G
Same Boat,Zac Brown Band
Better Man (Taylor's Version) (From The Vault),Taylor Swift
22 (Taylor's Version),Taylor Swift
Doin' This,Luke Combs
Treacherous (Taylor's Version),Taylor Swift
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift
No Love,Summer Walker & SZA
Wild Side,Normani Featuring Cardi B
Have Mercy,Chloe
I Almost Do (Taylor's Version),Taylor Swift
Chosen,Blxst & Tyga Featuring Ty Dolla $ign
The Very First Night (Taylor's Version) (From The Vault),Taylor Swift
Family Ties,Baby Keem & Kendrick Lamar
Everything Has Changed (Taylor's Version),Taylor Swift Featuring Ed Sheeran
Sand In My Boots,Morgan Wallen
Gyalis,Capella Grey
The Last Time (Taylor's Version),Taylor Swift Featuring Gary Lightbody Of Snow Patrol
Stay Stay Stay (Taylor's Version),Taylor Swift
After Last Night,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins
Babe (Taylor's Version) (From The Vault),Taylor Swift
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk
Escape Plan,Travis Scott
One Mississippi,Kane Brown
Blast Off,Silk Sonic (Bruno Mars & Anderson .Paak)
Knowing You,Kenny Chesney
Skate,Silk Sonic (Bruno Mars & Anderson .Paak)
Holy Ground (Taylor's Version),Taylor Swift
Begin Again (Taylor's Version),Taylor Swift
Put On A Smile,Silk Sonic (Bruno Mars & Anderson .Paak)
Forever Winter (Taylor's Version) (From The Vault),Taylor Swift
Whiskey And Rain,Michael Ray
Fly As Me,Silk Sonic (Bruno Mars & Anderson .Paak)
Super Gremlin,Kodak Black
The Moment I Knew (Taylor's Version),Taylor Swift
The Lucky One (Taylor's Version),Taylor Swift
Sad Beautiful Tragic (Taylor's Version),Taylor Swift
Fair Trade,Drake Featuring Travis Scott
Come Back...Be Here (Taylor's Version),Taylor Swift
Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis
Tequila Little Time,Jon Pardi
Starlight (Taylor's Version),Taylor Swift
Bubbly,Young Thug With Drake & Travis Scott
Ex For A Reason,Summer Walker & JT
Freedom Was A Highway,Jimmie Allen & Brad Paisley
La Fama,Rosalia Featuring The Weeknd
Big Energy,Latto
Moth To A Flame,Swedish House Mafia & The Weeknd
'Til You Can't,Cody Johnson
Woman,Doja Cat
Take My Breath,The Weeknd
For Tonight,Giveon
