id,song,artist,album,popularity,duration,genres
4fpEuKIzTLmMJnYwFU0oqr,Death with Dignity,Sufjan Stevens,Carrie & Lowell,32,239508,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']"
4tcwdkKzXn0Tsyz3WtH3gc,In My Mind (feat. Brian Viglione),Amanda Palmer,Goes Down Under,0,253506,"['anti-folk', 'dark cabaret', 'indie pop', 'piano rock', 'steampunk']"
7yC7FWZz24L43brXzNpLWT,To All of You,Syd Matters,Someday We Will Foresee Obstacles,56,283266,"['folktronica', 'french indie folk']"
3jfZ9M23l0L7RxzYMTgBTv,Looking Out for You,Joy Again,Looking Out for You,83,179499,"['indie garage rock', 'indie pop']"
24HPkbkXJsIFC4eyg63zgQ,Wraith Pinned to the Mist and Other Games,of Montreal,The Sunlandic Twins,58,255613,"['alternative dance', 'alternative rock', 'anti-folk', 'art pop', 'baroque pop', 'elephant 6', 'freak folk', 'indie pop', 'indie rock', 'new rave']"
5FeFPGq2whLMxNGQ7Fpp35,No Risk,Cults,Host,1,153446,"['experimental pop', 'indie surf']"
7126kIzOFbWsvWcz6s4ITQ,Into Happiness,Phantogram,Ceremony,47,201066,"['chillwave', 'electropop', 'indietronica', 'metropopolis', 'modern rock']"
5fztwLyeoasBgTU8ISdnYN,classic j dies and goes to hell part 1,glass beach,the first glass beach album,20,304144,"['5th wave emo', 'modern power pop']"
0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,Dr. Dog,"Shame, Shame (Deluxe Edition)",78,234800,"['indie folk', 'indie pop', 'indie rock', 'modern folk rock', 'modern rock', 'philly indie', 'stomp and holler']"
1DrarMEXcAgQs2nyCPE3Jv,Morning Bells,Hether,WULM (acoustic) / Morning Bells,25,202000,"['bedroom pop', 'indie garage rock', 'indie pop', 'indie r&b', 'modern indie pop']"
66R2Xq3K0h7QkIxfbS6Kkk,Staring at the Sun,Insomnia Beach Club,Staring at the Sun,34,166694,[]
79RsQCxirSGkCO2CMDXwOJ,In a Dream,Hether,Hether Who?,40,180000,"['bedroom pop', 'indie garage rock', 'indie pop', 'indie r&b', 'modern indie pop']"
1WREsRSG1MbMhVl5dDy5xP,drugs in public,Kiko,drugs in public,36,117333,[]
5Y1KrA5SLUFxXwxZncgxLR,Every Little Thing,CyberGirlfriend,Every Little Thing,50,205357,[]
2ynCjjrmED5CfiVn2ZLkUk,Obstacles,Syd Matters,Someday We Will Foresee Obstacles,58,208706,"['folktronica', 'french indie folk']"
0Olx7UxLDnNxoT2W6qgwVw,Fell In Love With A Girl,The White Stripes,Under Great White Northern Lights,0,146106,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
1CLmFKW99S8eJrebO3GB04,No Woman,Whitney,Light Upon the Lake,34,237973,"['chicago indie', 'indie folk', 'indie pop', 'indie rock', 'stomp and holler']"
7uHwZaROlb4EK3dBNJMghU,Japanese Buffalo,Cage The Elephant,Thank You Happy Birthday,33,183106,"['modern rock', 'punk blues', 'rock']"
0tkBOcK7oRVXQJY97zzSvr,Telescope,Cage The Elephant,Melophobia,64,228293,"['modern rock', 'punk blues', 'rock']"
1zFbBrZmJr1Z49HYe84dBg,Harvey,Her's,Invitation to Her's,65,211165,"['indie garage rock', 'indie pop', 'liverpool indie', 'modern rock']"
5PxibFPxW06HBPab6KrcPP,You Don't Know This Guy,Her's,Songs of Her's,48,321140,"['indie garage rock', 'indie pop', 'liverpool indie', 'modern rock']"
10reYnBP6UTLlOUUEUZgfv,Wake Up,Jenny Owen Youngs,An Unwavering Band of Light,33,334986,"['indie pop', 'lilith', 'new jersey indie']"
3eZqBNHlNA4lUsbAB6UmvD,Loretta,Ginger Root,Loretta,61,190153,['oc indie']
02EfUBR452SeQUfic5swi8,Your Letter,Paul Cherry,Flavour,37,180300,"['bedroom pop', 'indie garage rock', 'neo-psychedelic']"
63IfUlTGLlYQfhBWjPle4Q,Ohio,Ginger Root,Mahjong Room,0,153875,['oc indie']
3I6jfxLr3YetJK2nlqwhmx,Pillar of Na,Saintseneca,Pillar of Na,39,522386,"['columbus ohio indie', 'small room', 'stomp and holler']"
0jTKmPYBGiEZsQtRNlWM1L,Dream Song,Lala Lala,Sleepyhead,42,130478,"['art pop', 'bubblegrunge', 'indie folk', 'indie pop', 'indie punk', 'indie rock']"
1xyi3lv6KROrCjoMAVhOtO,In The Sink,Plumtree,Mass Teen Fainting,44,216266,"['canadian indie', 'halifax indie']"
4vtiD6QnHMc5CMPZxUfojr,Oranges,American Pleasure Club,Oranges / Daniels,8,151344,"['lo-fi indie', 'small room']"
0RziRXSj2ZHVLonxak2WLV,You Didn't Love Me Then,The Hit Parade,With Love From...,33,212440,"['c86', 'tape club', 'twee pop']"
19hgVvXQ8RyP5RtCkoUk5C,Paraphernalia,Temples,Paraphernalia,41,263453,['neo-psychedelic']
0MapUfkFs5QgcRXuj7Dihy,Aerostar,Video Age,Aerostar,0,260069,"['experimental pop', 'indie garage rock', 'neo-psychedelic']"
4puLDwNmO0BCs0dFM8Uuxq,Smaller,Christian Leave,Trilogy,2,212473,"['indie pop', 'modern rock', 'pop']"
709R9sfIjDM9OdAym9tr8Q,Balto,Inner Wave,Underwater Pipe Dreams,42,236469,"['indie garage rock', 'indie pop', 'neo-psychedelic']"
1DEF5JbySlij0a8ZRkmN7Q,Projectdon'tdie,Osquello,Projectdon'tdie,39,302000,[]
5DBUAFLqGZHm3SB2bV6ogs,Dream Girl - Audiotree Live Version,No Vacation,No Vacation on Audiotree Live,37,220228,"['indie garage rock', 'indie pop', 'indie surf']"
1rcxltU3Mzn8gN6Z8ly9Zh,Visions,Loving,If I Am Only My Thoughts,59,233558,"['indie garage rock', 'neo-psychedelic', 'victoria bc indie']"
37juvlZlGTFSmrAdGEENbZ,Get Bummed Out,Remember Sports,All of Something,17,144981,"['5th wave emo', 'alternative emo', 'bubblegrunge', 'indie pop', 'indie punk', 'indie rock']"
4MO41ebvl5DLmHNjJHtsbG,Do You Want To Die Together?,Stars,The North,28,191973,"['canadian indie', 'indie pop', 'indie rock', 'shimmer pop', 'stomp and holler']"
1tiLTqE2HSNhqHBTh1tJ9x,異星人と熱帯夜,Cody・Lee(李),異星人と熱帯夜,41,270287,['japanese alternative rock']
